id,brand,model,year,generation,trim,body_type,fuel_type,horsepower,torque_nm,fuel_consumption_l100km,km_per_liter,seating_capacity,boot_space_liters,base_price_lkr,base_price_usd,annual_maintenance_lkr,annual_maintenance_usd,reliability_score,comfort_score,performance_score,sl_resale_tier,image_url
mb-c-2024,Mercedes-Benz,C-Class,2024,W206,C 300e Plug-in,Sedan,Plug-in Hybrid,313,550,2.2,45.5,5,315,45000000.0,147000.0,480000,1570,87,93,88,European,/images/vehicles/mb-c-2024.jpg
mb-glc-2024,Mercedes-Benz,GLC,2024,X254,GLC 300 4MATIC,SUV,Mild-Hybrid,255,400,7.4,13.5,5,620,48000000.0,157000.0,490000,1600,88,94,84,European,/images/vehicles/mb-glc-2024.jpg
mb-e-2024,Mercedes-Benz,E-Class,2024,W214,E 200 AMG Line,Sedan,Mild-Hybrid,204,320,7.1,14.1,5,540,56000000.0,183000.0,540000,1770,90,96,85,European,/images/vehicles/mb-e-2024.jpg
audi-a4-2020,Audi,A4,2020,B9,35 TFSI S line,Sedan,Mild-Hybrid,150,270,6.5,15.4,5,460,22500000.0,73800.0,370000,1210,84,87,79,European,/images/vehicles/audi-a4-2020.jpg
audi-a4-2023,Audi,A4,2023,B9.5,45 TFSI quattro,Sedan,Mild-Hybrid,261,370,6.7,14.9,5,460,31000000.0,101000.0,420000,1380,86,89,87,European,/images/vehicles/audi-a4-2023.jpg
audi-q5-2024,Audi,Q5,2024,FY LCI,45 TFSI quattro S line,SUV,Mild-Hybrid,261,370,7.6,13.2,5,520,42000000.0,137000.0,460000,1500,87,91,84,European,/images/vehicles/audi-q5-2024.jpg
lexus-nx-2024,Lexus,NX,2024,AZ20,NX 350h Luxury,SUV,Hybrid,240,316,5.7,17.5,5,520,36000000.0,118000.0,280000,920,97,93,82,High,/images/vehicles/lexus-nx-2024.jpg
lexus-rx-2024,Lexus,RX,2024,ALA10,RX 350h Luxury,SUV,Hybrid,246,316,6.3,15.9,5,612,52000000.0,170000.0,310000,1015,96,95,83,High,/images/vehicles/lexus-rx-2024.jpg
toyota-prado-2022,Toyota,Land Cruiser Prado,2022,GDJ150,TX-L Package Diesel,SUV,Diesel,204,500,8.9,11.2,7,620,72000000.0,236000.0,320000,1050,98,92,80,High,/images/vehicles/toyota-prado-2022.jpg
toyota-prado-2024,Toyota,Land Cruiser Prado,2024,LC250,First Edition 2.8D,SUV,Diesel,204,500,9.5,10.5,7,650,88000000.0,288000.0,360000,1180,97,94,82,High,/images/vehicles/toyota-prado-2024.jpg
landrover-defender-2024,Land Rover,Defender,2024,L663,110 P400 X-Dynamic,SUV,Mild-Hybrid,395,550,9.8,10.2,7,786,82000000.0,268000.0,680000,2230,80,92,89,European,/images/vehicles/landrover-defender-2024.jpg
rangerover-sport-2024,Land Rover,Range Rover Sport,2024,L461,Dynamic SE P400,SUV,Mild-Hybrid,395,550,9.6,10.4,5,650,98000000.0,321000.0,790000,2590,81,96,93,European,/images/vehicles/rangerover-sport-2024.jpg
porsche-macan-2024,Porsche,Macan,2024,95B.3,GTS 2.9 V6,SUV,Petrol,434,550,10.1,9.9,5,488,62000000.0,203000.0,620000,2030,89,91,98,European,/images/vehicles/porsche-macan-2024.jpg
porsche-cayenne-2024,Porsche,Cayenne,2024,PO536,E-Hybrid 3.0 V6,SUV,Plug-in Hybrid,463,650,3.5,28.5,5,772,86000000.0,281000.0,710000,2330,91,96,95,European,/images/vehicles/porsche-cayenne-2024.jpg
tesla-modely-2024,Tesla,Model Y,2024,Juniper,Long Range AWD,SUV,Electric,384,510,0.0,29.0,5,854,26000000.0,85000.0,120000,390,89,88,94,Moderate,/images/vehicles/tesla-modely-2024.jpg
hyundai-ioniq5-2024,Hyundai,Ioniq 5,2024,NE,AWD Limited,SUV,Electric,320,605,0.0,28.5,5,527,24500000.0,80000.0,110000,360,91,90,88,Moderate,/images/vehicles/hyundai-ioniq5-2024.jpg
toyota-rav4-2024,Toyota,RAV4,2024,XA50,XSE Hybrid AWD,SUV,Hybrid,219,279,5.8,17.2,5,580,21000000.0,68800.0,180000,590,96,87,78,High,/images/vehicles/toyota-rav4-2024.jpg
honda-crv-2024,Honda,CR-V,2024,RS,e:HEV RS Touring,SUV,Hybrid,204,335,6.1,16.4,5,586,23500000.0,77000.0,195000,640,94,88,77,High,/images/vehicles/honda-crv-2024.jpg
volvo-xc60-2024,Volvo,XC60,2024,SPA,T8 Recharge Ultimate,SUV,Plug-in Hybrid,455,709,2.8,35.7,5,483,46000000.0,150000.0,440000,1440,89,94,92,European,/images/vehicles/volvo-xc60-2024.jpg
toyota-lc300-2024,Toyota,Land Cruiser 300,2024,LC300,ZX Twin Turbo,SUV,Petrol,409,650,10.8,9.2,7,800,115000000.0,377000.0,420000,1380,99,97,91,High,/images/vehicles/toyota-lc300-2024.jpg
toyota-corollacross-2024,Toyota,Corolla Cross,2024,Standard,Base,SUV,Hybrid,196,206,4.3,23.2,5,487,18500000.0,60000.0,180000,600,90,85,80,High,/images/vehicles/toyota-corollacross-2024.jpg
